iter	MultiClass
0	1.053713065
1	1.006700918
2	0.9657272517
3	0.9302949228
4	0.8986276996
5	0.8747086835
6	0.8509360313
7	0.8315766685
8	0.8127581614
9	0.7958024441
10	0.7831128831
11	0.7689845832
12	0.7568529069
13	0.7473609549
14	0.7366374491
15	0.7269932918
16	0.7186176427
17	0.7110173581
18	0.7046301575
19	0.7001112034
20	0.6949489251
21	0.6886139098
22	0.6835733926
23	0.6784498391
24	0.6734592677
25	0.6693204503
26	0.6648842059
27	0.661044939
28	0.6577553047
29	0.652847808
30	0.6495341543
31	0.6450739896
32	0.6419110963
33	0.6392753725
34	0.6355593626
35	0.6330258473
36	0.6298511266
37	0.6274633326
38	0.625652051
39	0.6225793957
40	0.6196901337
41	0.6171858997
42	0.6136199635
43	0.6114753379
44	0.6091096961
45	0.6054351549
46	0.6034459003
47	0.6015259305
48	0.5983838155
49	0.5960135077
50	0.59444801
51	0.5919084973
52	0.5892991499
53	0.5870183978
54	0.5853985536
55	0.5830851509
56	0.5802244428
57	0.5779569711
58	0.5754648536
59	0.5739931227
60	0.5719758544
61	0.5699748789
62	0.567655808
63	0.5652808713
64	0.5639460055
65	0.561803469
66	0.5612394529
67	0.5594919399
68	0.5584331939
69	0.5571807338
70	0.5561922825
71	0.5544935062
72	0.5522232246
73	0.5504736755
74	0.548197111
75	0.5462869629
76	0.5444335426
77	0.5425051813
78	0.5406095201
79	0.5378714962
80	0.5353817555
81	0.534027996
82	0.5328488084
83	0.5310454144
84	0.5291143649
85	0.5278164897
86	0.5267492527
87	0.5247531691
88	0.5228516645
89	0.5211303765
90	0.5193250916
91	0.5176729866
92	0.5158976173
93	0.5145638368
94	0.5130082648
95	0.5109041871
96	0.50831953
97	0.5070259642
98	0.5055090294
99	0.5037863089
100	0.5022322002
101	0.5011267605
102	0.499328215
103	0.498151942
104	0.4969310691
105	0.4952811798
106	0.4939147446
107	0.4924488575
108	0.4914007897
109	0.489838838
110	0.4888389301
111	0.4871150984
112	0.4861831312
113	0.4842438954
114	0.4827975212
115	0.481675421
116	0.4799790615
117	0.4790440856
118	0.4773678003
119	0.4759564481
120	0.4745402183
121	0.4737861339
122	0.4727639199
123	0.4719716841
124	0.4711996226
125	0.4703207643
126	0.4687222011
127	0.4679115368
128	0.4665023027
129	0.4654020747
130	0.4635776015
131	0.4625700889
132	0.4607303159
133	0.45936975
134	0.4581391505
135	0.4572385167
136	0.4552398734
137	0.4542912296
138	0.4530590665
139	0.4520942511
140	0.4513471552
141	0.4504742679
142	0.4499595043
143	0.4495144304
144	0.4483446715
145	0.4476669939
146	0.4468310062
147	0.4460622198
148	0.4453061681
149	0.4442585639
150	0.4432320819
151	0.4419508724
152	0.4410670956
153	0.4397764015
154	0.4390184759
155	0.4380803332
156	0.437399547
157	0.4364902905
158	0.4355900889
159	0.4342627443
160	0.4336865864
161	0.4327982238
162	0.4320349579
163	0.431450567
164	0.43077173
165	0.430174588
166	0.4295422885
167	0.4285492725
168	0.4275599233
169	0.4271090695
170	0.4259772998
171	0.4251463148
172	0.4245156327
173	0.4238236781
174	0.422873427
175	0.422345256
176	0.4214061623
177	0.4207378265
178	0.4200945672
179	0.4197457445
180	0.4193943277
181	0.4184357444
182	0.4173900381
183	0.4169749611
184	0.416480331
185	0.4155608524
186	0.4148606106
187	0.4141249245
188	0.4136044083
189	0.412760986
190	0.4123409959
191	0.4115730031
192	0.4109890262
193	0.4104900444
194	0.4097599063
195	0.4095206232
196	0.4087048053
197	0.4081757579
198	0.4071228097
199	0.4063585076
200	0.4055833075
201	0.4048810173
202	0.4044723046
203	0.4040403984
204	0.4032862628
205	0.4025053598
206	0.4020458068
207	0.4015316446
208	0.4007855837
209	0.4002343269
210	0.3996574172
211	0.3991362862
212	0.3982998033
213	0.3974410785
214	0.3965919317
215	0.3958558553
216	0.3950871981
217	0.3943592029
218	0.3938266304
219	0.3935160629
220	0.3931872379
221	0.392771943
222	0.3923532096
223	0.3920676583
224	0.3916575235
225	0.3911921423
226	0.3905154378
227	0.3901344551
228	0.3894634724
229	0.389195824
230	0.3886653877
231	0.3880074113
232	0.3875299457
233	0.3871060705
234	0.3867223263
235	0.3861105764
236	0.3856014353
237	0.3852627879
238	0.3847758352
239	0.3846296971
240	0.3840931385
241	0.3837035903
242	0.3832419026
243	0.3828499484
244	0.382120917
245	0.3813033614
246	0.3809614661
247	0.3805134258
248	0.379932488
249	0.3796490115
250	0.3791300691
251	0.3787321321
252	0.3781923985
253	0.3779684843
254	0.3774711988
255	0.3770696911
256	0.3765809269
257	0.3762370618
258	0.3758146948
259	0.3754571037
260	0.375043808
261	0.3746933595
262	0.3741815454
263	0.3737681239
264	0.3735196917
265	0.373308421
266	0.3730451466
267	0.3725886439
268	0.3720952971
269	0.3714794143
270	0.371348566
271	0.3707596168
272	0.3703274192
273	0.3698629611
274	0.369446731
275	0.36910347
276	0.3687998656
277	0.3685098672
278	0.3681709588
279	0.3678369256
280	0.3672799077
281	0.366690218
282	0.3662337367
283	0.3659332606
284	0.3654648448
285	0.3652048486
286	0.3647949417
287	0.3641517692
288	0.363845745
289	0.3633832698
290	0.3630215051
291	0.3625617985
292	0.3621043917
293	0.3617977199
294	0.3614141895
295	0.3612412318
296	0.3611454231
297	0.3609008837
298	0.3606954899
299	0.3603673468
300	0.3597259147
301	0.3595706323
302	0.3591036776
303	0.3588550074
304	0.3587248778
305	0.3583300669
306	0.3580794305
307	0.3576826222
308	0.3573243572
309	0.3569965113
310	0.3567640127
311	0.3565109631
312	0.3561226946
313	0.355990061
314	0.3557846038
315	0.355361209
316	0.355107605
317	0.354767213
318	0.3543149756
319	0.353965116
320	0.3533971689
321	0.3530102689
322	0.3527368551
323	0.352508701
324	0.3520473788
325	0.351710805
326	0.3513780944
327	0.3511057137
328	0.3508296722
329	0.3502479796
330	0.3499857282
331	0.3496311775
332	0.3492849849
333	0.3489928521
334	0.3487698574
335	0.3483726477
336	0.3481142542
337	0.3479706912
338	0.3476403216
339	0.3473901945
340	0.3471533225
341	0.3467966034
342	0.3465654448
343	0.3460382059
344	0.345843919
345	0.3456233763
346	0.3454284249
347	0.3451720938
348	0.3448442781
349	0.3446763567
350	0.3443080509
351	0.3440766131
352	0.3438042364
353	0.3434869082
354	0.3431623269
