iter	Passed	Remaining
0	131	65592
1	138	34516
2	145	24040
3	152	18851
4	158	15711
5	165	13624
6	171	12111
7	180	11129
8	195	10677
9	209	10278
10	222	9877
11	234	9518
12	247	9267
13	258	8970
14	275	8895
15	294	8902
16	314	8929
17	333	8921
18	348	8820
19	357	8575
20	358	8169
21	366	7961
22	374	7769
23	382	7578
24	389	7404
25	396	7236
26	404	7080
27	411	6930
28	412	6699
29	419	6570
30	427	6462
31	433	6345
32	440	6239
33	447	6138
34	454	6041
35	461	5953
36	475	5950
37	478	5814
38	501	5923
39	510	5868
40	520	5827
41	548	5985
42	570	6059
43	602	6242
44	617	6246
45	631	6228
46	645	6224
47	654	6161
48	663	6111
49	671	6043
50	678	5975
51	679	5852
52	686	5786
53	692	5721
54	699	5658
55	706	5598
56	712	5541
57	720	5487
58	727	5434
59	734	5383
60	740	5330
61	747	5279
62	753	5229
63	760	5179
64	769	5148
65	778	5121
66	789	5104
67	798	5075
68	810	5065
69	823	5059
70	840	5079
71	856	5092
72	860	5034
73	878	5057
74	898	5091
75	916	5113
76	932	5123
77	941	5092
78	949	5060
79	958	5032
80	965	4995
81	972	4957
82	980	4927
83	987	4889
84	993	4852
85	1000	4814
86	1006	4778
87	1013	4742
88	1019	4708
89	1025	4672
90	1035	4653
91	1051	4661
92	1068	4674
93	1078	4657
94	1096	4675
95	1111	4678
96	1125	4674
97	1138	4668
98	1156	4684
99	1175	4701
100	1195	4722
101	1205	4704
102	1214	4681
103	1221	4652
104	1229	4624
105	1235	4594
106	1237	4544
107	1244	4518
108	1251	4489
109	1258	4462
110	1265	4434
111	1271	4406
112	1278	4378
113	1284	4350
114	1291	4322
115	1298	4297
116	1309	4287
117	1322	4281
118	1337	4283
119	1348	4270
120	1361	4263
121	1373	4255
122	1385	4245
123	1400	4245
124	1419	4258
125	1433	4256
126	1449	4256
127	1464	4255
128	1473	4238
129	1482	4220
130	1493	4206
131	1501	4185
132	1509	4164
133	1516	4141
134	1523	4118
135	1530	4095
136	1537	4073
137	1544	4050
138	1550	4027
139	1557	4005
140	1563	3981
141	1570	3958
142	1581	3947
143	1595	3944
144	1610	3943
145	1623	3937
146	1640	3939
147	1655	3936
148	1670	3934
149	1688	3939
150	1708	3949
151	1727	3954
152	1746	3960
153	1754	3942
154	1764	3927
155	1772	3908
156	1779	3886
157	1785	3865
158	1792	3844
159	1798	3822
160	1805	3801
161	1811	3780
162	1818	3758
163	1824	3737
164	1830	3716
165	1838	3698
166	1846	3682
167	1855	3667
168	1864	3652
169	1874	3638
170	1882	3621
171	1894	3611
172	1912	3615
173	1931	3617
174	1948	3618
175	1968	3623
176	1987	3626
177	1997	3613
178	2015	3614
179	2024	3598
180	2032	3582
181	2041	3567
182	2049	3549
183	2059	3536
184	2068	3521
185	2075	3504
186	2083	3486
187	2090	3469
188	2097	3451
189	2103	3432
190	2110	3414
191	2117	3396
192	2124	3378
193	2133	3364
194	2147	3358
195	2165	3358
196	2177	3349
197	2190	3340
198	2205	3336
199	2221	3332
200	2235	3325
201	2256	3328
202	2276	3330
203	2301	3338
204	2310	3324
205	2320	3312
206	2328	3296
207	2336	3279
208	2343	3262
209	2350	3245
210	2357	3228
211	2364	3211
212	2371	3194
213	2378	3178
214	2384	3161
215	2391	3144
216	2398	3128
217	2405	3111
218	2412	3094
219	2418	3078
220	2424	3061
221	2433	3047
222	2448	3041
223	2462	3034
224	2474	3024
225	2487	3016
226	2504	3011
227	2517	3003
228	2531	2996
229	2545	2988
230	2560	2981
231	2577	2977
232	2592	2970
233	2602	2958
234	2609	2943
235	2617	2927
236	2624	2912
237	2631	2896
238	2638	2881
239	2644	2865
240	2651	2849
241	2657	2833
242	2664	2817
243	2670	2801
244	2677	2786
245	2683	2770
246	2689	2755
247	2698	2742
248	2712	2734
249	2732	2732
250	2743	2721
251	2759	2715
252	2773	2707
253	2787	2699
254	2805	2695
255	2823	2691
256	2837	2683
257	2848	2671
258	2863	2664
259	2875	2654
260	2882	2639
261	2889	2624
262	2896	2610
263	2903	2595
264	2910	2580
265	2916	2565
266	2922	2550
267	2929	2536
268	2936	2521
269	2942	2506
270	2949	2492
271	2956	2477
272	2966	2466
273	2984	2461
274	3001	2455
275	3009	2442
276	3023	2433
277	3037	2425
278	3053	2418
279	3069	2411
280	3085	2404
281	3100	2397
282	3119	2392
283	3136	2385
284	3144	2372
285	3152	2358
286	3162	2346
287	3169	2333
288	3177	2319
289	3184	2306
290	3191	2292
291	3198	2278
292	3206	2265
293	3213	2251
294	3220	2237
295	3227	2224
296	3234	2210
297	3241	2197
298	3248	2183
299	3255	2170
300	3262	2156
301	3268	2143
302	3275	2129
303	3284	2117
304	3297	2107
305	3312	2099
306	3326	2091
307	3337	2080
308	3350	2070
309	3366	2063
310	3379	2053
311	3392	2044
312	3408	2036
313	3422	2027
314	3442	2022
315	3455	2012
316	3463	1999
317	3471	1987
318	3482	1975
319	3489	1963
320	3497	1950
321	3504	1937
322	3512	1924
323	3519	1911
324	3526	1898
325	3533	1886
326	3540	1873
327	3547	1860
328	3556	1848
329	3564	1836
330	3571	1823
331	3578	1810
332	3585	1798
333	3592	1785
334	3599	1772
335	3611	1762
336	3628	1754
337	3643	1746
338	3652	1734
339	3660	1722
340	3673	1712
341	3686	1703
342	3704	1695
343	3719	1686
344	3740	1680
345	3756	1672
346	3769	1662
347	3791	1655
348	3800	1644
349	3809	1632
350	3817	1620
351	3823	1607
352	3830	1595
353	3837	1582
354	3843	1570
355	3844	1555
356	3851	1542
357	3858	1530
358	3864	1517
359	3871	1505
360	3878	1493
361	3884	1480
362	3890	1468
363	3897	1456
364	3902	1443
365	3912	1432
366	3926	1422
367	3939	1413
368	3951	1402
369	3972	1395
370	3986	1386
371	4000	1376
372	4020	1368
373	4045	1363
374	4064	1354
375	4073	1343
376	4082	1332
377	4090	1320
378	4098	1308
379	4105	1296
380	4112	1284
381	4119	1272
382	4127	1260
383	4134	1248
384	4140	1236
385	4148	1225
386	4154	1213
387	4162	1201
388	4168	1189
389	4176	1177
390	4183	1166
391	4192	1155
392	4203	1144
393	4217	1134
394	4230	1124
395	4240	1113
396	4253	1103
397	4273	1095
398	4286	1085
399	4300	1075
400	4318	1066
401	4336	1057
402	4353	1047
403	4374	1039
404	4381	1027
405	4389	1016
406	4396	1004
407	4403	992
408	4409	981
409	4415	969
410	4422	957
411	4428	945
412	4435	934
413	4441	922
414	4448	911
415	4454	899
416	4460	887
417	4467	876
418	4478	865
419	4494	856
420	4509	846
421	4518	835
422	4530	824
423	4549	815
424	4567	805
425	4581	795
426	4599	786
427	4616	776
428	4631	766
429	4640	755
430	4659	745
431	4668	734
432	4675	723
433	4682	712
434	4689	700
435	4695	689
436	4705	678
437	4722	668
438	4733	657
439	4750	647
440	4771	638
441	4787	628
442	4806	618
443	4815	607
444	4823	596
445	4830	584
446	4838	573
447	4845	562
448	4854	551
449	4861	540
450	4868	528
451	4874	517
452	4881	506
453	4888	495
454	4894	484
455	4901	472
456	4909	461
457	4924	451
458	4940	441
459	4952	430
460	4961	419
461	4972	409
462	4986	398
463	5000	387
464	5010	377
465	5019	366
466	5040	356
467	5055	345
468	5066	334
469	5074	323
470	5083	313
471	5095	302
472	5113	291
473	5132	281
474	5139	270
475	5150	259
476	5165	249
477	5182	238
478	5193	227
479	5201	216
480	5209	205
481	5222	195
482	5236	184
483	5253	173
484	5261	162
485	5268	151
486	5276	140
487	5285	129
488	5299	119
489	5313	108
490	5328	97
491	5336	86
492	5344	75
493	5355	65
494	5377	54
495	5394	43
496	5403	32
497	5410	21
498	5425	10
499	5441	0
