iter	MultiClass
0	1.047018768
1	1.016083632
2	0.982841343
3	0.9466403235
4	0.9138563095
5	0.8903170856
6	0.8688992738
7	0.8470844767
8	0.8273969611
9	0.8081504252
10	0.7902619159
11	0.7756483371
12	0.7620435158
13	0.7519069706
14	0.7414629276
15	0.7283041238
16	0.7190631911
17	0.7096024727
18	0.6977010056
19	0.6880501893
20	0.6785528399
21	0.6703506224
22	0.6650293056
23	0.6580959382
24	0.6521089267
25	0.6463454507
26	0.6416502148
27	0.6358273127
28	0.6310506562
29	0.628886811
30	0.6253457281
31	0.6211285009
32	0.6155757974
33	0.6111796793
34	0.6060980214
35	0.6025180701
36	0.5963631331
37	0.5929086837
38	0.5883520165
39	0.5855140961
40	0.5833575079
41	0.5790639748
42	0.5750650328
43	0.5714669315
44	0.5697945856
45	0.5649015621
46	0.5615075722
47	0.5573307323
48	0.5553014617
49	0.5530340322
50	0.5505814868
51	0.5477163197
52	0.544465539
53	0.542294849
54	0.5390503849
55	0.5363206945
56	0.532369293
57	0.5299290486
58	0.5273110119
59	0.5246927134
60	0.5225047611
61	0.5195119856
62	0.5169105393
63	0.5146496897
64	0.5120407735
65	0.5104136281
66	0.507732276
67	0.5060020121
68	0.5040517568
69	0.501701441
70	0.4995655743
71	0.4966399084
72	0.4945028477
73	0.492136303
74	0.4910921252
75	0.4875832066
76	0.4847751673
77	0.4820651448
78	0.4807033395
79	0.4787479696
80	0.4762806925
81	0.4744213824
82	0.4723422808
83	0.4704052361
84	0.4678633512
85	0.4648637058
86	0.4616347048
87	0.4593358786
88	0.4571737982
89	0.4548828092
90	0.4529121408
91	0.4515995246
92	0.4500321434
93	0.4484761125
94	0.4465510589
95	0.4449232541
96	0.4430620373
97	0.4417714969
98	0.4398044591
99	0.4380361863
100	0.4360418579
101	0.4338522227
102	0.4326228509
103	0.4313620897
104	0.4296723602
105	0.4281702275
106	0.4266018724
107	0.4250035946
108	0.4234016825
109	0.4222252158
110	0.4209007057
111	0.4200028519
112	0.4187916916
113	0.4173939867
114	0.4160630049
115	0.4146849478
116	0.4131783693
117	0.4126857767
118	0.4112397844
119	0.409662655
120	0.4079519628
121	0.4063858971
122	0.4052716827
123	0.4039785073
124	0.4022674174
125	0.4010216641
126	0.3998118641
127	0.3988323174
128	0.3977091244
129	0.396177431
