iter	Passed	Remaining
0	0	440
1	1	393
2	2	374
3	2	364
4	3	356
5	4	352
6	4	348
7	5	346
8	6	344
9	6	342
10	7	340
11	8	339
12	9	337
13	9	338
14	10	338
15	11	339
16	12	341
17	12	343
18	13	343
19	14	345
20	15	346
21	15	347
22	16	348
23	17	348
24	18	348
25	19	348
26	19	348
27	20	348
28	21	348
29	22	348
30	23	348
31	23	349
32	24	349
33	25	349
34	26	349
35	27	349
36	27	349
37	28	348
38	29	348
39	30	348
40	31	347
41	31	347
42	32	347
43	33	346
44	34	346
45	35	346
46	35	345
47	36	345
48	37	345
49	38	345
50	39	344
51	39	343
52	40	343
53	41	343
54	42	342
55	43	342
56	44	341
57	44	341
58	45	341
59	46	339
60	47	339
61	48	339
62	48	338
63	49	338
64	50	338
65	51	337
66	51	335
67	52	335
68	53	335
69	54	334
70	55	334
71	56	334
72	57	333
73	57	333
74	58	333
75	59	333
76	60	332
77	61	332
78	62	332
79	63	331
80	64	331
81	64	330
82	65	330
83	66	330
84	67	330
85	68	329
86	69	329
87	70	328
88	71	328
89	72	328
90	72	327
91	73	327
92	74	327
93	75	326
94	76	326
95	77	325
96	78	325
97	79	324
98	80	324
99	80	323
100	81	323
101	82	322
102	83	322
103	84	322
104	85	321
105	86	321
106	87	320
107	88	320
108	89	319
109	90	319
110	90	318
111	91	318
112	92	317
113	93	317
114	94	316
115	95	316
116	96	315
117	97	315
118	98	314
119	99	314
120	100	313
121	101	313
122	101	312
123	102	311
124	103	311
125	104	310
126	105	310
127	106	309
128	107	308
129	108	308
130	109	307
131	110	306
132	111	306
133	111	305
134	112	305
135	113	304
136	114	303
137	115	303
138	116	302
139	117	301
140	118	301
141	119	300
142	120	300
143	121	299
144	122	298
145	122	298
146	123	297
147	124	296
148	126	297
149	127	296
150	127	295
151	128	294
152	129	293
153	130	292
154	131	292
155	132	291
156	132	290
157	133	289
158	134	288
159	135	287
160	136	286
161	136	285
162	137	285
163	138	284
164	140	285
165	141	284
166	142	283
167	143	282
